AggregationMethod,Date,Version,AirportName,PercentOfBaseline,lon,lat,City,State,ISO_3166_2,Country
Daily,2020-07-04,1.0,Kingsford Smith,48,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-22,1.0,Kingsford Smith,60,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-21,1.0,Kingsford Smith,65,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-05,1.0,Kingsford Smith,57,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-10,1.0,Kingsford Smith,16,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-31,1.0,Kingsford Smith,71,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-29,1.0,Kingsford Smith,54,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-01,1.0,Kingsford Smith,19,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-07,1.0,Kingsford Smith,21,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-14,1.0,Kingsford Smith,55,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-31,1.0,Kingsford Smith,18,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-12,1.0,Kingsford Smith,60,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-03,1.0,Kingsford Smith,20,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-18,1.0,Kingsford Smith,51,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-26,1.0,Kingsford Smith,48,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-21,1.0,Kingsford Smith,59,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-17,1.0,Kingsford Smith,43,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-12,1.0,Kingsford Smith,29,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-14,1.0,Kingsford Smith,59,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-30,1.0,Kingsford Smith,16,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-07,1.0,Kingsford Smith,11,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-04,1.0,Kingsford Smith,59,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-01,1.0,Kingsford Smith,69,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-02,1.0,Kingsford Smith,41,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
